t,k,n,m,c,nsets,solved,elapsed 
5,2,5,5,2,5,1,386
5,2,5,5,2,0,0,373
5,2,5,5,2,3,1,344
5,3,5,5,1,1,1,227
5,3,5,5,1,0,0,495
5,3,5,5,1,0,0,233
8,2,10,10,1,0,0,362
8,2,10,10,1,0,0,392
8,2,10,10,1,0,0,256
8,3,10,10,1,0,0,288
8,3,10,10,1,0,0,229
8,3,10,10,1,0,0,370
12,8,10,10,2,20,1,267
12,8,10,10,2,20,1,300
12,8,10,10,2,20,1,374
6,4,7,7,2,4,1,214
6,4,7,7,2,4,1,499
6,4,7,7,2,4,1,356
12,6,30,30,3,0,0,1494
12,6,30,30,3,0,0,567
12,6,30,30,3,0,0,473
10,8,10,10,2,20,1,371
10,8,10,10,2,20,1,360
10,8,10,10,2,20,1,319
5,4,5,5,2,4,1,342
5,4,5,5,2,4,1,375
5,4,5,5,2,4,1,352
8,5,6,6,3,7,1,238
8,5,6,6,3,9,1,356
8,5,6,6,3,20,1,458
7,5,15,15,3,0,0,427
7,5,15,15,3,0,0,162
7,5,15,15,3,0,0,256
12,8,17,17,3,3,1,448
12,8,17,17,3,2,1,213
12,8,17,17,3,3,1,415
14,10,25,25,4,2,1,419
14,10,25,25,4,1,1,419
14,20,25,25,4,20,1,391
